,text,place,long,lat,clean_text,GPE,FAC,ORG,LOC
0," I'm at My Home Gym in Pacifica, CA https://t.co/fWgIms86T8", Pacifica; CA,-122.500464,37.59365," Im at My Home Gym in Pacifica, CA","[Pacifica, CA]",[],[],[]
1,"_styledbym.e killed it with this #shadowroot #colormelt on ahlthaaat! Color melting, Balayage,… https://t.co/NUhTgcCim0",,-121.9897508,38.3558404,"styledbym.e killed it with this shadowroot colormelt on ahlthaaat! Color melting, Balayage,",[],[],[],[]
2,Primigi Classic loafers for your boy or girl. Normally $74-$89 We have many sizes and colors to… https://t.co/ntc7OX5zyz,"East Oakdale, CA",-120.82996000000001,37.77433,Primigi Classic loafers for your boy or girl. Normally 74-89 We have many sizes and colors to,[],[],[Primigi],[]
3, Warriors single game tickets go on sale at 10 a.m. https://t.co/1Ojk8wtdcg, San Jose; CA,-121.89176640000001,37.3324843, Warriors single game tickets go on sale at 10 a.m.,[],[],[],[]
4," I'm at Hardly Strictly Bluegrass in San Francisco, CA https://t.co/u61jaz0kHZ", San Francisco; CA,-122.48954199999999,37.771727," Im at Hardly Strictly Bluegrass in San Francisco, CA","[San Francisco, CA]",[],[],[]
5,Completing an install for an aftermarket HID headlight and foglight kit.  #hid #scion #scionfrs… https://t.co/vIgmkesCjA,,-121.98295,37.51838,Completing an install for an aftermarket HID headlight and foglight kit.  hid scion scionfrs,[],[],[],[]
6,@kingkevin_1 http://t.co/ZWMWVy7ciY,3320a79a535d4896,-121.80928700000001,37.385757,at kingkevin1,[],[],[],[]
8,"""When are we gonna chill?"" http://t.co/fuu03yTMwM",7d62cffe6f98f349,-121.871523,37.343959000000005,When are we gonna chill?,[],[],[],[]
9,it's 1 am &amp; im craving cup noodles ):,45cadd6ef118ec9f,-122.031508,37.398844,its 1 am amp; im craving cup noodles :,[],[],[],[]
10,"Forgotten, on a side walk. Understood. @ Western Addition, San Francisco https://t.co/pXozNjtGLF",,-122.428,37.7825,"Forgotten, on a side walk. Understood. at  Western Addition, San Francisco",[San Francisco],[Western Addition],[],[]
11,@StarlineSC #lightshow @ Starline Social Club https://t.co/kuFUfDR76h,,-122.272507,37.812812,at StarlineSC lightshow at  Starline Social Club,[],[],[Starline Social Club],[]
12,"Hang n’ pray, mercy me. \\\ #lostdogcycling @ Saratoga, California https://t.co/ptG2jvTklM",,-122.01944440000001,37.2725,"Hang n pray, mercy me.  lostdogcycling at  Saratoga, California","[Saratoga, California]",[],[],[]
13,Just want to tell you everyone I’m doing OK God is good and life is moving forward #ThinkPositive #BePositive #GodIsWithYou #GodLovesYou #JesusTeam #TeamJesus #Positivity #GoodDay @… https://t.co/38YebEkGTd,"Riverbank, CA",-120.944,37.7313,Just want to tell you everyone Im doing OK God is good and life is moving forward ThinkPositive BePositive GodIsWithYou GodLovesYou JesusTeam TeamJesus Positivity GoodDay at ,[],[],[],[]
14,"I'm at Huntington Avenue in San Bruno, CA https://t.co/IbCQOhRF94","San Bruno, CA",-122.4147787,37.6387168,"Im at Huntington Avenue in San Bruno, CA","[San Bruno, CA]",[Huntington Avenue],[],[]
15,"How many of you bitter, broke, un-creative bozos are hatin' on Drake hosting the ESPY's tonight? I bet its considerable.",5a110d312052166f,-122.422389,37.798796,"How many of you bitter, broke, un-creative bozos are hatin on Drake hosting the ESPYs tonight? I bet its considerable.",[],[],[],[]
16,"Im at Sessions at the Presidio - @1 in San Francisco, CA https://t.co/ZlVXV4WYBq",,-122.4478895,37.79915388,"Im at Sessions at the Presidio - at 1 in San Francisco, CA","[San Francisco, CA]",[],[],[]
17,Right ankle hurts,f28195f8b183abcd,-122.266396,38.178364,Right ankle hurts,[],[],[],[]
18,"📰 Ole Miss women at home against Alabama today (Northeast Mississippi Daily Journal)
@AlabamaWBB  
https://t.co/AWE1WzrgOR",,-121.9494656,37.5236445, Ole Miss women at home against Alabama today Northeast Mississippi Daily Journalat AlabamaWBB  https:t.coAWE1WzrgOR,"[Ole Miss, Alabama]",[],[Northeast Mississippi Daily Journalat],[]
19,This guy is more awkward than me 😂 and trust me that's pretty awkward,7d62cffe6f98f349,-121.87198500000001,37.354278,This guy is more awkward than me  and trust me thats pretty awkward,[],[],[],[]
20,"Awaiting AA 445 SFO to CLT. (@ American Airlines Admirals Club in San Francisco, CA) https://t.co/gUSoJFf7ae",,-122.3834762,37.61718352,"Awaiting AA 445 SFO to CLT. at  American Airlines Admirals Club in San Francisco, CA","[San Francisco, CA]",[],"[AA 445 SFO, American Airlines]",[]
21,"@drugstoredivas hi there! Thanks for the follow, this girl loves a deal :)",5a110d312052166f,-122.450005,37.765606,"at drugstoredivas hi there! Thanks for the follow, this girl loves a deal :",[],[],[],[]
22,"Happy Saturday... Snuggles before we get busy.
.
.
My entry in the #myvalentinepup contest… https://t.co/144ElRwqIm",,-122.08200000000001,37.3926,Happy Saturday... Snuggles before we get busy...My entry in the myvalentinepup contest,[],[],[],[]
23,"Rolling wit my homies...... @ Castro District, San Francisco https://t.co/Vk0X04Jayb",,-122.43511940000002,37.76171111,"Rolling wit my homies...... at  Castro District, San Francisco",[San Francisco],[],[],[Castro District]
24, I want this shit forever like I'm drake, Oakland; CA,-122.2588751,37.816819, I want this shit forever like Im drake,[],[],[],[]
25,finally getting into finding carter!!! 😍,0941c439c73f4f7b,-121.84664099999999,38.450638,finally getting into finding carter!!! ,[],[],[],[]
26,When Irie picks me up from school&gt;&gt;&gt;,8ad73577c2722154,-121.56784099999999,37.0153,When Irie picks me up from schoolgt;gt;gt;,[],[],[],[]
27, #Repost @oscarwastaken with repostapp ・・・ Never look back // Photo by @k_mao  Picked by… https://t.co/rCWYID8yyE, San Francisco; CA,-122.37111110000001,37.82416667, Repost at oscarwastaken with repostapp  Never look back  Photo by at kmao  Picked by,[],[],[],[]
28,Finally I get a half 😿,b9d2dd70dd01d539,-121.966279,36.971872999999995,Finally I get a half ,[],[],[],[]
29,"Hanging on the 2nd floor working on my #HIST3345 study guide (@ CSUEB Library in Hayward, CA) https://t.co/jIYWKJk0yI https://t.co/iaBj0wHZZx",,-122.056366,37.65586602,"Hanging on the 2nd floor working on my HIST3345 study guide at  CSUEB Library in Hayward, CA","[Hayward, CA]",[],[CSUEB Library],[]
30, Chinese stuff in #SanFrancisco in Chinatown.  -1 e si parte. #CaliforniaDream  #sanfranciscocity… https://t.co/o9y9KJSS7A, San Francisco; CA,-122.41799999999999,37.775, Chinese stuff in SanFrancisco in Chinatown.  -1 e si parte. CaliforniaDream  sanfranciscocity,[SanFrancisco],[],[],[]
31,"I'm at Guardian Gym in Oakland, CA https://t.co/1Bhgba1bNC","Oakland, CA",-122.2660373,37.80709369,"Im at Guardian Gym in Oakland, CA","[Oakland, CA]",[],[Guardian Gym],[]
32,Sunday brunch 😋 @ Dunya SF https://t.co/4GzZCJdzmy,"San Francisco, CA",-122.42111000000001,37.79165,Sunday brunch  at  Dunya SF,[],[Dunya SF],[],[]
33,"🌞🌝- I kick myself when I'm down a lot which is a bummer, you're not a bummer you're the totes opposite I'll always love you and our memorie$",3c9e627dd6b55d9e,-122.01042,37.000759,"- I kick myself when Im down a lot which is a bummer, youre not a bummer youre the totes opposite Ill always love you and our memorie",[],[],[],[]
34,@TrebaProblems aww haha thank you.,fbd6d2f5a4e4a15e,-120.95352,37.718716,at TrebaProblems aww haha thank you.,[],[],[],[]
35,@kcampbellssoup that's good for me,0354c827bfda68de,-121.97721200000001,37.287403000000005,at kcampbellssoup thats good for me,[],[],[],[]
36,Jeter got robbed,a35b62af9d82aa08,-122.014379,37.921527000000005,Jeter got robbed,[],[],[],[]
37, The hashtag #GoBears took the 8th place in the Top20 of San Francisco's Trends for Sunday 18: https://t.co/ue6nFhuXwC #trndnl, San Francisco; CA,-122.4201,37.7792, The hashtag GoBears took the 8th place in the Top20 of San Franciscos Trends for Sunday 18: trndnl,[],[],[],[]
38,"Im at Campanile (Sather Tower) - @cal in Berkeley, CA https://t.co/m4K67ZYbmq https://t.co/hZPlvZBaBb",,-122.2580969,37.87193215,"Im at Campanile Sather Tower - at cal in Berkeley, CA","[Berkeley, CA]",[cal],[Campanile Sather Tower],[]
39,I know I do,a6c30cefdd39bd81,-120.95796999999999,37.600815000000004,I know I do,[],[],[],[]
40,Debut of new #shirt. A #justmysize gift from the #lovely and #talented #ralfkagonzalez of… https://t.co/8alnVMRvkQ,,-122.41799999999999,37.775,Debut of new shirt. A justmysize gift from the lovely and talented ralfkagonzalez of,[],[],[],[]
41, This just in: kj_marie_'s 1 handed pull-up 🔥 Change Your Life. Private Training/Online Coaching:… https://t.co/gItZTloIgU, San Francisco; CA,-122.41799999999999,37.775, This just in: kjmaries 1 handed pull-up  Change Your Life. Private TrainingOnline Coaching:,[],[],[],[]
